prix,ville,nombre de chambres,surface,type,date de publication,type_enc,ville_enc
9500000.0,"Chrifia, Marrakech",5.0,854.0,Villa,2024-12-21 22:02:51.762749,1,4
8900000.0,"Route de Tahanaoute, Marrakech",4.0,460.0,Villa,2025-05-20 22:02:51.762757,1,10
8300000.0,"Agdal, Marrakech",5.0,450.0,Villa,2025-06-19 22:02:51.762759,1,0
3200000.0,"Dar Bouazza, Casablanca",3.0,274.0,Villa,2024-12-21 22:02:51.762760,1,5
2900000.0,"Plaza, Marrakech",2.0,144.0,Appartement,2024-12-21 22:02:51.762762,0,7
9000000.0,"Chrifia, Marrakech",4.0,440.0,Villa,2024-12-21 22:02:51.762763,1,4
5300000.0,"Route d'Ourika, Marrakech",3.0,220.0,Villa,2025-05-20 22:02:51.762764,1,9
2700000.0,"Quartier des Hôpitaux, Casablanca",3.0,273.0,Appartement,2024-12-21 22:02:51.762765,0,8
2900000.0,"Argan Golf Ressort, Marrakech",3.0,220.0,Villa,2024-12-21 22:02:51.762766,1,2
8500000.0,"Targa, Marrakech",4.0,824.0,Villa,2024-12-21 22:02:51.762767,1,11
11000000.0,"Ain Diab, Casablanca",3.0,350.0,Appartement,2024-12-21 22:02:51.762767,0,1
6500000.0,"Chrifia, Marrakech",4.0,500.0,Villa,2024-12-21 22:02:51.762768,1,4
3900000.0,"Targa, Marrakech",4.0,291.0,Villa,2025-05-20 22:02:51.762769,1,11
8400000.0,"Chrifia, Marrakech",4.0,967.0,Villa,2024-12-21 22:02:51.762770,1,4
6120000.0,"Route d'Ourika, Marrakech",4.0,822.0,Villa,2025-05-20 22:02:51.762771,1,9
2980000.0,"Boulevard Al Massira Al Khadra, Casablanca",3.0,206.0,Appartement,2024-12-21 22:02:51.762772,0,3
8000000.0,"Chrifia, Marrakech",5.0,730.0,Villa,2024-12-21 22:02:51.762773,1,4
8500000.0,"Route de Tahanaoute, Marrakech",4.0,460.0,Villa,2025-05-20 22:02:51.762773,1,10
2600000.0,"Palmeraie, Marrakech",3.0,125.0,Appartement,2025-03-21 22:02:51.762774,0,6
9500000.0,"Chrifia, Marrakech",5.0,854.0,Villa,2024-12-21 22:02:51.762775,1,4
8900000.0,"Route de Tahanaoute, Marrakech",4.0,460.0,Villa,2025-05-20 22:02:51.762776,1,10
8300000.0,"Agdal, Marrakech",5.0,450.0,Villa,2025-06-19 22:02:51.762777,1,0
3200000.0,"Dar Bouazza, Casablanca",3.0,274.0,Villa,2024-12-21 22:02:51.762778,1,5
2900000.0,"Plaza, Marrakech",2.0,144.0,Appartement,2024-12-21 22:02:51.762779,0,7
9000000.0,"Chrifia, Marrakech",4.0,440.0,Villa,2024-12-21 22:02:51.762780,1,4
5300000.0,"Route d'Ourika, Marrakech",3.0,220.0,Villa,2025-05-20 22:02:51.762781,1,9
